query,judge,n_results,hit@1,hit@3,hit@5,rr,top1_sim,top1_category,search_time,pre_rerank_rank,post_rerank_rank,hit_keywords
오메가3의 심혈관 건강 효능은?,True,5,1,1,1,1.0,0.6424,건강식품,3.974,1,1,epa
프로바이오틱스가 장 건강에 미치는 영향,True,5,0,0,0,0.0,0.6468,다이어트_AI생성,0.427,,,없음
커큐민의 항염 효과 임상 연구,True,5,0,0,0,0.0,0.6362,건강식품,0.501,,,없음
간헐적 단식 16:8 방법과 체중 감량 효과,True,5,1,1,1,1.0,0.6531,다이어트_AI생성,0.369,1,1,"intermittent fasting, fasting"
케토제닉 다이어트 혈당 관리 연구,True,5,0,0,1,0.25,0.633,건강식품,0.311,4,4,없음
저탄수화물 식단 메타분석 결과,True,5,0,1,1,0.3333,0.6396,건강식품,0.271,3,3,없음
단백질 섭취량과 근육 유지 관계,True,5,0,1,1,0.5,0.6412,다이어트_AI생성,0.31,2,2,없음
식이섬유와 장내 미생물 관계,True,5,0,0,0,0.0,0.6289,다이어트_AI생성,0.208,,,없음
혈당 스파이크 원인과 예방법,True,5,1,1,1,1.0,0.6246,건강_수집데이터,0.201,1,1,"blood glucose, glucose"
GI 지수와 혈당 관리 방법,True,5,1,1,1,1.0,0.6361,다이어트_AI생성,0.22,1,1,"glycemic, glucose"
푸드올로지 버닝올로지 성분,True,5,1,1,1,1.0,0.6378,푸드올로지,0.14,1,1,"버닝올로지, 버닝, burning"
콜레올로지 제품 효능,True,5,1,1,1,1.0,0.6291,푸드올로지,0.071,1,1,"콜레올로지, 콜레스테롤"
맨올로지 추천 대상,True,5,1,1,1,1.0,0.6162,푸드올로지,0.061,1,1,맨올로지
닭가슴살 다이어트 식단 추천,True,5,0,0,0,0.0,0.6451,기타,0.219,,,없음
다이어트 보조제 종류와 효과,True,5,1,1,1,1.0,0.6369,다이어트_AI생성,0.196,1,1,weight loss
단백질 보충제 먹는 방법,True,5,0,1,1,0.5,0.6406,기타,0.23,2,2,없음
비타민C 결핍 증상,True,5,0,0,0,0.0,0.6342,기타,0.206,,,없음
날씨가 맑은 날 운동하면 좋은가요,False,5,0,0,0,0.0,0.6093,다이어트_AI생성,0.204,,,없음
