query,judge,n_results,hit@1,hit@3,hit@5,rr,top1_sim,top1_category,search_time,pre_rerank_rank,post_rerank_rank,hit_keywords
오메가3의 심혈관 건강 효능은?,True,5,1,1,1,1.0,0.4589,건강식품,0.192,1,1,epa
프로바이오틱스가 장 건강에 미치는 영향,True,5,0,0,0,0.0,0.462,다이어트_AI생성,0.201,,,없음
커큐민의 항염 효과 임상 연구,True,5,0,0,0,0.0,0.4544,건강식품,0.191,,,없음
간헐적 단식 16:8 방법과 체중 감량 효과,True,5,1,1,1,1.0,0.4665,다이어트_AI생성,0.21,1,1,"intermittent fasting, fasting"
케토제닉 다이어트 혈당 관리 연구,True,5,0,0,1,0.25,0.4521,건강식품,0.185,4,4,없음
저탄수화물 식단 메타분석 결과,True,5,0,1,1,0.3333,0.4569,건강식품,0.197,3,3,없음
단백질 섭취량과 근육 유지 관계,True,5,0,1,1,0.5,0.458,다이어트_AI생성,0.196,2,2,없음
식이섬유와 장내 미생물 관계,True,5,0,0,0,0.0,0.4492,다이어트_AI생성,0.192,,,없음
혈당 스파이크 원인과 예방법,True,5,1,1,1,1.0,0.4461,건강_수집데이터,0.192,1,1,"blood glucose, glucose"
GI 지수와 혈당 관리 방법,True,5,1,1,1,1.0,0.4544,다이어트_AI생성,0.219,1,1,"glycemic, glucose"
푸드올로지 버닝올로지 성분,True,5,1,1,1,1.0,0.4556,푸드올로지,0.069,1,1,"버닝올로지, 버닝, burning"
콜레올로지 제품 효능,True,5,1,1,1,1.0,0.4493,푸드올로지,0.05,1,1,"콜레올로지, 콜레스테롤"
맨올로지 추천 대상,True,5,1,1,1,1.0,0.4402,푸드올로지,0.048,1,1,맨올로지
닭가슴살 다이어트 식단 추천,True,5,0,0,0,0.0,0.4608,기타,0.254,,,없음
다이어트 보조제 종류와 효과,True,5,1,1,1,1.0,0.4549,다이어트_AI생성,0.305,1,1,weight loss
단백질 보충제 먹는 방법,True,5,0,1,1,0.5,0.4576,기타,0.432,2,2,없음
비타민C 결핍 증상,True,5,0,0,0,0.0,0.453,기타,0.406,,,없음
날씨가 맑은 날 운동하면 좋은가요,False,5,0,0,0,0.0,0.4352,다이어트_AI생성,0.251,,,없음
